"E_km","N_km","group"
775.7715782,6896.1693166,1
775.78463311689,6896.28439873473,1
775.79122945,6896.28301822,1
775.79975541,6896.3237567,1
775.803033581589,6896.44660311913,1
775.84432887,6896.81063071,1
775.8439046,6896.83635797,1
775.813420822158,6896.83585525977,1
775.814932003206,6896.89248535842,1
775.85683874,6897.2735864,1
775.88962438,6897.40712162,1
775.884316819118,6897.40842473537,1
775.9503994,6897.60440941,1
775.99758267,6897.85520897,1
776.078362227307,6898.02857886893,1
776.1073791,6898.0788201,1
776.24992548,6898.34837685,1
776.26512007,6898.37757346,1
776.3534572,6898.55007798,1
776.441146849612,6898.69488111736,1
776.47011965,6898.72579887,1
776.94115131,6899.44437361,1
777.14107942,6900.2799867,1
777.15154466,6900.44816284,1
777.16390425,6900.55444816,1
777.23347052,6900.84415745,1
777.30857921,6901.0464212,1
777.45630371,6901.32774367,1
777.53426054,6901.43892633,1
777.80889739,6901.72166894,1
777.86976748,6901.76704497,1
777.91024077,6901.79598095,1
778.07457687,6901.90859714,1
778.66176769,6902.47137343,1
779.03723269,6903.19285541,1
779.13256856,6903.48400024,1
779.25544439,6903.74681285,1
779.31182613,6903.87689663,1
779.39069085,6904.07398948,1
779.40587303,6904.11179802,1
779.54735996,6904.60595066,1
779.55584015,6904.65366884,1
779.575588063399,6904.69514361049,1
779.63100326,6904.76798342,1
779.90442,6905.17824519,1
779.97296278,6905.28705798,1
780.02460261,6905.37391327,1
780.11572903,6905.49177733,1
780.35210028,6905.67871463,1
780.348656827957,6905.68306867322,1
780.66713167,6905.93465247,1
780.857776759703,6906.12697883801,1
780.91013312,6906.15935707,1
781.37296732,6906.66404503,1
781.68150101,6907.27538159,1
781.77335223,6907.5435389,1
781.972833390583,6907.92773028745,1
781.97755847,6907.93389615,1
781.985152692575,6907.95145668703,1
782.02924148,6908.03636963,1
782.023225055575,6908.0394934984,1
782.22075931,6908.49626278,1
782.25436942,6908.61084546,1
782.35038755,6908.80618447,1
782.49349007,6909.03683477,1
782.79660669,6909.75699785,1
782.85465955,6909.99271238,1
782.92892909,6910.20761558,1
782.94191621,6910.23638676,1
783.09487638,6910.47583882,1
783.28436226,6910.83327491,1
783.36421414,6911.01879363,1
783.50861179,6911.46598076,1
783.50945181,6911.46976906,1
783.6471036,6911.82318092,1
783.73381591,6911.97301621,1
783.75823325,6912.01342791,1
783.77134447,6912.03422945,1
783.898300586619,6912.29398911694,1
783.89887626,6912.29368095,1
784.0572823,6912.58959245,1
784.182424675729,6912.94764605956,1
784.379123742319,6913.34105136187,1
784.5198451,6913.58098407,1
784.710285073596,6913.96935881483,1
784.853979565632,6914.20043124187,1
784.86473974,6914.19490998,1
784.96188334,6914.38422941,1
785.24489101,6914.86627549,1
785.2772572,6914.91842777,1
785.63824696,6915.46942317,1
785.67882088,6915.527674,1
785.90128422,6915.82846782,1
785.90404705,6915.83089602,1
786.37973713,6916.39350402,1
786.479804995879,6916.62621763474,1
786.48991962,6916.62097807,1
786.55901863,6916.75436902,1
786.75288452,6917.25311461,1
786.75830054,6917.27319018,1
786.82602915,6917.43115933,1
786.85191753,6917.46264801,1
787.1443855,6917.90769946,1
787.40405427,6918.41302586,1
787.44917303,6918.49281076,1
787.80481247,6919.06968681,1
787.83201837,6919.11189473,1
787.98404834,6919.33766538,1
788.09791093,6919.52380451,1
788.20553002,6919.71832904,1
788.31624917,6919.94469087,1
788.45281568,6920.26369967,1
788.58881641,6920.50376995,1
788.70270335,6920.66116889,1
788.95543959,6921.09709419,1
788.96455308,6921.11725969,1
789.01115672,6921.20992564,1
789.31808726,6921.76187669,1
789.32228511,6921.76945655,1
789.69196046,6922.43969979,1
789.72232921,6922.49647699,1
789.97618273,6922.98613924,1
789.99129487,6923.01577007,1
790.2688008,6923.56894581,1
790.30181496,6923.63041226,1
790.56017931,6924.0808088,1
790.62102476,6924.19346786,1
790.98073364,6924.90232664,1
791.07266715,6925.1054692,1
791.25622973,6925.56456012,1
791.27986629,6925.62601046,1
791.4260255,6926.02145893,1
791.48305972,6926.15225861,1
791.56263754,6926.30956387,1
791.788000566032,6926.60104054523,1
791.79888373,6926.60838106,1
791.924436,6926.65203053,1
792.54000419,6926.96732196,1
793.04563087,6927.43920599,1
793.40261879,6928.03156779,1
793.5836465,6928.69907198,1
793.61540755,6928.9496826,1
793.63122653,6929.12229717,1
793.63759007,6929.23438186,1
793.65223371,6929.3668588,1
793.73849883,6929.88987093,1
793.7545304,6930.00315527,1
793.80374713,6930.41938352,1
793.80647706,6930.44087229,1
793.86695271,6930.88602256,1
793.9251299,6931.12871612,1
794.0182153,6931.39566057,1
794.039723621814,6931.48043403268,1
794.22865576,6932.02210571,1
794.27416089,6932.16648651,1
794.3894185,6932.57492606,1
794.39399651,6932.59074956,1
794.54067954,6933.08551201,1
