"E_km","N_km","STATIONID","group"
522.35838010823,6223.9456505183,"D-22",47
521.91809688583,6224.7255634984,"D-22",47
543.8921482368,6224.85436338108,"D-22",47
545.32120964456,6211.88307964965,"D-22",47
521.73366426531,6224.72446542814,"D-22",48
521.73763843689,6223.9424644791,"D-22",48
519.25276780835,6223.93054519877,"D-22",48
519.25773607117,6222.81776925475,"D-22",48
518.63683083503,6222.81497418029,"D-22",48
518.63197691162,6223.9277813475,"D-22",48
516.14705896191,6223.91771883687,"D-22",48
515.71343773483,6224.68846670124,"D-22",48
521.73366426531,6224.72446542814,"D-22",48
725.4222858081,6267.74224355174,"E-01",49
729.026882427,6230.7574796935,"E-01",49
692.01442171739,6228.93581004186,"E-01",49
688.3276535438,6265.92544535173,"E-01",49
725.4222858081,6267.74224355174,"E-01",49
762.51838582419,6269.88605381922,"E-02",50
766.04123435671,6232.90068397137,"E-02",50
729.026882427,6230.7574796935,"E-02",50
725.4222858081,6267.74224355174,"E-02",50
762.51838582419,6269.88605381922,"E-02",50
799.59179795175,6272.35577086735,"E-03",51
803.03320581616,6235.36430689236,"E-03",51
766.04123435671,6232.90068397137,"E-03",51
762.51838582419,6269.88605381922,"E-03",51
799.59179795175,6272.35577086735,"E-03",51
836.65026812282,6275.15207228446,"E-04",52
840.01070658391,6238.14903555513,"E-04",52
803.03320581616,6235.36430689236,"E-04",52
799.59179795175,6272.35577086735,"E-04",52
836.65026812282,6275.15207228446,"E-04",52
873.70245619361,6278.27607842245,"E-05",53
876.98162386601,6241.25591479882,"E-05",53
840.01070658391,6238.14903555513,"E-05",53
836.65026812282,6275.15207228446,"E-05",53
873.70245619361,6278.27607842245,"E-05",53
910.7391918619,6281.72756555947,"E-06",54
913.93774977968,6244.68478693452,"E-06",54
876.98162386601,6241.25591479882,"E-06",54
873.70245619361,6278.27607842245,"E-06",54
910.7391918619,6281.72756555947,"E-06",54
947.74755902254,6285.5056745045,"E-07",55
950.86709613455,6248.43489237607,"E-07",55
913.93774977968,6244.68478693452,"E-07",55
910.7391918619,6281.72756555947,"E-07",55
947.74755902254,6285.5056745045,"E-07",55
984.73991915303,6289.61209402716,"E-08",56
987.78128581691,6252.50784508021,"E-08",56
950.86709613455,6248.43489237607,"E-08",56
947.74755902254,6285.5056745045,"E-08",56
984.73991915303,6289.61209402716,"E-08",56
1021.72016914348,6294.0479917514,"E-09",57
1024.68434922617,6256.90481690151,"E-09",57
