"E_km","N_km","group"
789.117135656437,6082.93551452473,1
787.19110254573,6082.8120659263,1
786.478546824907,6083.8825464183,1
783.910424064389,6083.71957913597,1
783.198806521641,6084.79094959416,1
780.631230485554,6084.6298715427,1
779.279296509609,6085.66137537104,1
776.071012486859,6085.462994948,1
775.360616445808,6086.53512038664,1
773.436320987894,6086.41747826505,1
772.727596024985,6087.49043498798,1
771.444701690853,6087.41268593235,1
770.736674592787,6088.48552110713,1
768.813212378193,6088.36983238732,1
768.104991326382,6089.44346995492,1
766.82362783044,6089.36699560992,1
766.116044108494,6090.44049652123,1
764.193474445117,6090.32677770379,1
764.127936708515,6091.43882098688,1
760.283807873897,6091.21393320821,1
759.579014710635,6092.28842390975,1
757.657324996509,6092.17752823236,1
757.593454043884,6093.28916954115,1
755.672244076853,6093.17911533768,1
754.967860608967,6094.25465321463,1
753.688017599124,6094.18194133448,1
752.984255779519,6095.25740461261,1
751.063950480799,6095.14926210785,1
750.361995861193,6096.2255306753,1
749.081739461255,6096.15411073902,1
748.380422143918,6097.23024474957,1
747.100464737598,6097.15938113677,1
746.399686666195,6098.23625962343,1
744.480747652949,6098.13093282193,1
744.419963540085,6099.24265201108,1
741.861357927674,6099.10348198974,1
741.801167535218,6100.21571789551,1
740.522140809805,6100.14665153372,1
739.184547757316,6101.18987299167,1
738.544729904468,6101.155627391,1
738.485353717552,6102.26745226217,1
737.207920174419,6102.19938075685,1
735.811957869465,6104.35570926744,1
734.534188652561,6104.28833836021,1
734.475711675727,6105.40059790593,1
733.19826657684,6105.3336724576,1
732.502051472084,6106.41214628054,1
731.863939419635,6106.37892294104,1
731.16720867561,6107.45800681361,1
729.891295442047,6107.39206180753,1
729.195202218885,6108.47101359077,1
728.557416664306,6108.43823147132,1
727.862733279688,6109.51783995787,1
727.224124492502,6109.48521948613,1
726.529902533095,6110.56465819804,1
725.891441053128,6110.53219236547,1
725.197723260975,6111.61179535339,1
724.560408819761,6111.57961391086,1
723.173168919443,6113.73968990898,1
722.536162201213,6113.70776199774,1
721.15046603192,6115.86838871346,1
720.513811853069,6115.8367906723,1
718.437599639416,6119.07859244793,1
717.801353051434,6119.04733151637,1
717.746820640942,6120.15965403682,1
717.110734514596,6120.12849207024,1
716.41946239453,6121.20933151935,1
715.729424375923,6122.2907907329,1
715.093645863857,6122.25988291752,1
713.767559615885,6123.31032278612,1
713.131944039732,6123.27976299787,1
713.078454538762,6124.39215814026,1
712.442060114641,6124.3615832593,1
711.753448402511,6125.44312967743,1
711.118140348207,6125.41282431171,1
711.065115957102,6126.52524255208,1
710.429013354919,6126.49498262402,1
710.376206362638,6127.60698996941,1
708.313115014497,6130.85329973163,1
707.678624917071,6130.82343006474,1
706.991051422358,6131.90607382108,1
705.722304744581,6131.84688330584,1
705.670612707176,6132.95890583288,1
705.035430212615,6132.92941448406,1
704.34974534644,6134.01249029219,1
703.715725388134,6133.98322412052,1
703.664438641528,6135.09525503522,1
703.02956355479,6135.06601876123,1
702.344712524716,6136.14938958986,1
701.709984379079,6136.12030904971,1
701.025595809213,6137.20351329154,1
700.39203016998,6137.17465812295,1
700.341507058036,6138.28670915522,1
699.073757195848,6138.22933695858,1
699.023542945074,6139.34183857466,1
